,datetime,site,geometry,SWE,SWE_units,MAX AIR TEMP,MAX AIR TEMP_units,PRECIPITATION,PRECIPITATION_units,datasource
60,1990-03-02 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,39.38,degF,0.0,in,NRCS
61,1990-03-03 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,33.98,degF,0.3,in,NRCS
62,1990-03-04 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.0,in,37.76,degF,0.0,in,NRCS
63,1990-03-05 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.0,in,37.04,degF,0.2,in,NRCS
64,1990-03-06 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.1,in,27.86,degF,0.1,in,NRCS
65,1990-03-07 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.2,in,29.66,degF,0.1,in,NRCS
66,1990-03-08 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.3,in,44.78,degF,0.1,in,NRCS
67,1990-03-09 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.3,in,46.58,degF,0.0,in,NRCS
68,1990-03-10 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.3,in,41.72,degF,0.2,in,NRCS
69,1990-03-11 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.5,in,42.62,degF,0.2,in,NRCS
70,1990-03-12 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.6,in,21.38,degF,0.1,in,NRCS
71,1990-03-13 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.7,in,20.48,degF,0.0,in,NRCS
72,1990-03-14 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.7,in,20.84,degF,0.1,in,NRCS
73,1990-03-15 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,24.98,degF,0.0,in,NRCS
74,1990-03-16 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,33.08,degF,0.0,in,NRCS
75,1990-03-17 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,38.12,degF,0.1,in,NRCS
76,1990-03-18 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,39.2,degF,0.0,in,NRCS
77,1990-03-19 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,46.76,degF,0.0,in,NRCS
78,1990-03-20 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,45.68,degF,0.0,in,NRCS
79,1990-03-21 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,44.42,degF,0.0,in,NRCS
80,1990-03-22 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,50.36,degF,0.0,in,NRCS
81,1990-03-23 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.8,in,41.72,degF,0.1,in,NRCS
82,1990-03-24 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,44.78,degF,0.0,in,NRCS
83,1990-03-25 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,46.94,degF,0.0,in,NRCS
84,1990-03-26 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,54.86,degF,0.0,in,NRCS
85,1990-03-27 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,40.1,degF,0.1,in,NRCS
86,1990-03-28 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,42.26,degF,0.1,in,NRCS
87,1990-03-29 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.0,in,35.06,degF,0.1,in,NRCS
88,1990-03-30 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.1,in,41.36,degF,0.2,in,NRCS
89,1990-03-31 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,43.52,degF,0.0,in,NRCS
90,1990-04-01 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,42.98,degF,0.0,in,NRCS
91,1990-04-02 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,42.98,degF,0.0,in,NRCS
92,1990-04-03 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,48.74,degF,0.1,in,NRCS
93,1990-04-04 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,46.22,degF,0.0,in,NRCS
94,1990-04-05 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,41.18,degF,0.1,in,NRCS
95,1990-04-06 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,48.2,degF,0.0,in,NRCS
96,1990-04-07 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,47.84,degF,0.1,in,NRCS
97,1990-04-08 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,45.14,degF,0.3,in,NRCS
98,1990-04-09 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,36.68,degF,0.3,in,NRCS
99,1990-04-10 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.6,in,48.38,degF,0.0,in,NRCS
100,1990-04-11 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.6,in,47.66,degF,0.0,in,NRCS
101,1990-04-12 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,47.3,degF,0.1,in,NRCS
102,1990-04-13 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.2,in,40.46,degF,0.0,in,NRCS
103,1990-04-14 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.2,in,32.9,degF,0.0,in,NRCS
104,1990-04-15 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.9,in,51.98,degF,0.0,in,NRCS
105,1990-04-16 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.5,in,54.5,degF,0.1,in,NRCS
106,1990-04-17 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.1,in,45.14,degF,0.1,in,NRCS
107,1990-04-18 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.1,in,45.5,degF,0.3,in,NRCS
108,1990-04-19 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.3,in,41.9,degF,0.3,in,NRCS
109,1990-04-20 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.6,in,26.96,degF,0.0,in,NRCS
110,1990-04-21 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.5,in,51.44,degF,0.1,in,NRCS
111,1990-04-22 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.0,in,53.06,degF,0.1,in,NRCS
112,1990-04-23 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.8,in,44.6,degF,0.1,in,NRCS
113,1990-04-24 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.8,in,41.18,degF,0.3,in,NRCS
114,1990-04-25 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.1,in,45.32,degF,0.0,in,NRCS
115,1990-04-26 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.8,in,32.36,degF,0.2,in,NRCS
116,1990-04-27 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.0,in,34.88,degF,0.5,in,NRCS
117,1990-04-28 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.4,in,41.0,degF,0.2,in,NRCS
118,1990-04-29 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.6,in,21.92,degF,0.4,in,NRCS
119,1990-04-30 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.0,in,29.3,degF,0.5,in,NRCS
120,1990-05-01 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.5,in,46.04,degF,0.2,in,NRCS
121,1990-05-02 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.7,in,49.1,degF,0.1,in,NRCS
122,1990-05-03 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.6,in,50.72,degF,0.0,in,NRCS
123,1990-05-04 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.5,in,47.66,degF,0.0,in,NRCS
124,1990-05-05 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),7.3,in,49.46,degF,0.0,in,NRCS
